Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Illegal weapons possession,Drug law violations,Liquor law violations,Category
2001,235316,Gonzaga University,377800,1,Main Campus,4874,0,0,1,On-campus arrests
2001,236595,Seattle University,379000,1,Main Campus,5981,0,0,0,On-campus arrests
2001,236948,University of Washington-Seattle Campus,379800,1,Main Campus,37412,5,149,65,On-campus arrests
2001,236939,Washington State University,380000,1,Pullman Campus,21073,0,45,167,On-campus arrests
2001,237011,Western Washington University,380200,1,Bellingham Campus,12409,0,18,126,On-campus arrests
2001,237057,Whitman College,380300,1,Whitman College,1439,0,0,0,On-campus arrests
2002,235316,Gonzaga University,377800,1,Main Campus,5254,0,1,0,On-campus arrests
2002,236595,Seattle University,379000,1,Main Campus,6270,0,0,0,On-campus arrests
2002,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39882,4,69,90,On-campus arrests
2002,236939,Washington State University,380000,1,Pullman Campus,21880,1,65,123,On-campus arrests
2002,237011,Western Washington University,380200,1,Bellingham Campus,13865,2,31,88,On-campus arrests
2002,237057,Whitman College,380300,1,Whitman College,1454,0,4,0,On-campus arrests
2003,235316,Gonzaga University,377800,1,Main Campus,5494,0,0,2,On-campus arrests
2003,236595,Seattle University,379000,1,Main Campus,6659,0,0,0,On-campus arrests
2003,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39135,1,13,17,On-campus arrests
2003,236939,Washington State University,380000,1,Pullman Campus,22712,1,53,88,On-campus arrests
2003,237011,Western Washington University,380200,1,Bellingham Campus,13845,0,18,37,On-campus arrests
2003,237057,Whitman College,380300,1,Whitman College,1454,0,1,0,On-campus arrests
2004,235316,Gonzaga University,377800,1,Main Campus,5858,0,1,2,On-campus arrests
2004,236595,Seattle University,379000,1,Main Campus,6810,0,0,0,On-campus arrests
2004,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39199,2,5,24,On-campus arrests
2004,236939,Washington State University,380000,1,Pullman Campus,23241,9,40,56,On-campus arrests
2004,237011,Western Washington University,380200,1,Bellingham Campus,14190,0,34,115,On-campus arrests
2004,237057,Whitman College,380300,1,Whitman College,1481,0,0,0,On-campus arrests
2005,235316,Gonzaga University,377800,1,Main Campus,6377,0,0,1,On-campus arrests
2005,236595,Seattle University,379000,1,Main Campus,7109,0,0,0,On-campus arrests
2005,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39251,0,9,30,On-campus arrests
2005,236939,Washington State University,380000,1,Pullman Campus,23544,1,55,186,On-campus arrests
2005,237011,Western Washington University,380200,1,Bellingham Campus,14247,0,40,121,On-campus arrests
2005,237057,Whitman College,380300,1,Whitman College,1512,0,1,1,On-campus arrests
2006,235316,Gonzaga University,377800,1,Main Campus,6607,0,2,6,On-campus arrests
2006,236595,Seattle University,379000,1,Main Campus,7226,0,0,0,On-campus arrests
2006,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39524,0,26,34,On-campus arrests
2006,236939,Washington State University,380000,1,Pullman Campus,23655,0,124,217,On-campus arrests
2006,237011,Western Washington University,380200,1,Bellingham Campus,14035,0,3,66,On-campus arrests
2006,237057,Whitman College,380300,1,Whitman College,1455,0,1,1,On-campus arrests
2007,235316,Gonzaga University,377800,1,Main Campus,6873,0,1,5,On-campus arrests
2007,236595,Seattle University,379000,1,Main Campus,7529,0,0,0,On-campus arrests
2007,236948,University of Washington-Seattle Campus,379800,1,Main Campus,40218,0,34,33,On-campus arrests
2007,236939,Washington State University,380000,1,Pullman Campus,24396,2,109,174,On-campus arrests
2007,237011,Western Washington University,380200,1,Bellingham Campus,14276,1,29,80,On-campus arrests
2007,237057,Whitman College,380300,1,Whitman College,1489,0,1,0,On-campus arrests
2008,235316,Gonzaga University,377800,1,Main Campus,7272,2,0,0,On-campus arrests
2008,236595,Seattle University,379000,1,Main Campus,7560,0,0,0,On-campus arrests
2008,236948,University of Washington-Seattle Campus,379800,1,Main Campus,39675,2,47,55,On-campus arrests
2008,236939,Washington State University,380000,1,Pullman Campus,25352,1,121,175,On-campus arrests
2008,237011,Western Washington University,380200,1,Bellingham Campus,14620,1,17,49,On-campus arrests
