Survey year,Unitid,Institution name,OPEID,Campus ID, Campus Name,Institution Size,Domestic violence,Dating violence,Stalking,Category
2014,235316,Gonzaga University,377800,1,Main Campus,7352,3,0,0,Public vaw
2014,236595,Seattle University,379000,1,Main Campus,7273,1,0,0,Public vaw
2014,236948,University of Washington-Seattle Campus,379800,1,Main Campus,44784,0,0,0,Public vaw
2014,236939,Washington State University,380000,1,Pullman Campus,28686,0,0,0,Public vaw
2014,237011,Western Washington University,380200,1,Bellingham Campus,15060,0,0,0,Public vaw
2014,237057,Whitman College,380300,1,Whitman College,1498,0,0,1,Public vaw
2015,235316,Gonzaga University,377800,1,Main Campus,7491,0,0,0,Public vaw
2015,236595,Seattle University,379000,1,Main Campus,7405,1,0,0,Public vaw
2015,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45408,0,0,5,Public vaw
2015,236939,Washington State University,380000,1,Pullman Campus,29686,0,0,0,Public vaw
2015,237011,Western Washington University,380200,1,Bellingham Campus,15332,0,0,0,Public vaw
2015,237057,Whitman College,380300,1,Whitman College,1470,0,0,0,Public vaw
2016,235316,Gonzaga University,377800,1,Main Campus,7567,0,1,0,Public vaw
2016,236595,Seattle University,379000,1,Main Campus,7487,2,1,0,Public vaw
2016,236595,Seattle University,379000,2,Eastside Campus,7487,0,0,0,Public vaw
2016,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45591,0,0,0,Public vaw
2016,236939,Washington State University,380000,1,Pullman Campus,30142,0,0,0,Public vaw
2016,237011,Western Washington University,380200,1,Bellingham Campus,15574,0,0,0,Public vaw
2016,237057,Whitman College,380300,1,Whitman College,1493,0,0,1,Public vaw
2017,235316,Gonzaga University,377800,1,Main Campus,7506,0,0,0,Public vaw
2017,236595,Seattle University,379000,1,Main Campus,7278,1,1,0,Public vaw
2017,236595,Seattle University,379000,2,Eastside Campus,7278,0,0,0,Public vaw
2017,236948,University of Washington-Seattle Campus,379800,1,Main Campus,46166,0,0,1,Public vaw
2017,236939,Washington State University,380000,1,Pullman Campus,30614,0,0,0,Public vaw
2017,237011,Western Washington University,380200,1,Bellingham Campus,15915,0,0,0,Public vaw
2017,237057,Whitman College,380300,1,Whitman College,1510,0,0,0,Public vaw
2018,235316,Gonzaga University,377800,1,Main Campus,7563,0,0,0,Public vaw
2018,236595,Seattle University,379000,1,Main Campus,7291,0,1,0,Public vaw
2018,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47400,1,0,0,Public vaw
2018,236939,Washington State University,380000,1,Pullman Campus,31478,0,0,0,Public vaw
2018,237011,Western Washington University,380200,1,Bellingham Campus,16121,0,0,0,Public vaw
2018,237057,Whitman College,380300,1,Whitman College,1475,0,0,0,Public vaw
2019,235316,Gonzaga University,377800,1,Main Campus,7537,0,1,0,Public vaw
2019,236595,Seattle University,379000,1,Main Campus,7199,3,3,1,Public vaw
2019,236948,University of Washington-Seattle Campus,379800,1,Main Campus,47576,1,0,0,Public vaw
2019,236939,Washington State University,380000,1,Pullman Campus,31607,0,1,0,Public vaw
2019,237011,Western Washington University,380200,1,Bellingham Campus,16142,0,0,0,Public vaw
2019,237057,Whitman College,380300,1,Whitman College,1579,1,0,0,Public vaw
2020,235316,Gonzaga University,377800,1,Main Campus,7295,1,0,0,Public vaw
2020,236595,Seattle University,379000,1,Main Campus,7050,1,0,0,Public vaw
2020,236948,University of Washington-Seattle Campus,379800,1,Main Campus,48149,0,0,0,Public vaw
2020,236939,Washington State University,380000,1,Pullman Campus,31159,0,0,0,Public vaw
2020,237011,Western Washington University,380200,1,Bellingham Campus,15197,0,0,0,Public vaw
2020,237057,Whitman College,380300,1,Whitman College,1360,0,0,0,Public vaw
2021,235316,Gonzaga University,377800,1,Main Campus,7381,0,0,0,Public vaw
2021,236595,Seattle University,379000,1,Main Campus,7268,0,0,0,Public vaw
2021,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52434,0,0,0,Public vaw
2021,236939,Washington State University,380000,1,Pullman Campus,29843,0,0,0,Public vaw
2021,237011,Western Washington University,380200,1,Bellingham Campus,15125,0,0,0,Public vaw
2021,237057,Whitman College,380300,1,Whitman College,1559,0,0,0,Public vaw
2022,235316,Gonzaga University,377800,1,Main Campus,7253,0,0,0,Public vaw
2022,236595,Seattle University,379000,1,Main Campus,7121,1,0,0,Public vaw
2022,236948,University of Washington-Seattle Campus,379800,1,Main Campus,52319,0,0,0,Public vaw
2022,236939,Washington State University,380000,1,Pullman Campus,27539,0,0,0,Public vaw
2022,237011,Western Washington University,380200,1,Bellingham Campus,14747,0,0,0,Public vaw
2022,237057,Whitman College,380300,1,Whitman College,1493,0,0,0,Public vaw
2014,235316,Gonzaga University,377800,1,Main Campus,7352,0,0,0,Off-campus vaw
2014,236948,University of Washington-Seattle Campus,379800,1,Main Campus,44784,4,0,3,Off-campus vaw
2014,236939,Washington State University,380000,1,Pullman Campus,28686,3,0,0,Off-campus vaw
2014,237011,Western Washington University,380200,1,Bellingham Campus,15060,0,0,0,Off-campus vaw
2014,237057,Whitman College,380300,1,Whitman College,1498,1,0,1,Off-campus vaw
2015,235316,Gonzaga University,377800,1,Main Campus,7491,0,0,0,Off-campus vaw
2015,236595,Seattle University,379000,1,Main Campus,7405,0,0,0,Off-campus vaw
2015,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45408,5,0,2,Off-campus vaw
2015,236939,Washington State University,380000,1,Pullman Campus,29686,0,0,1,Off-campus vaw
2015,237011,Western Washington University,380200,1,Bellingham Campus,15332,0,0,0,Off-campus vaw
2015,237057,Whitman College,380300,1,Whitman College,1470,0,0,0,Off-campus vaw
2016,235316,Gonzaga University,377800,1,Main Campus,7567,0,0,0,Off-campus vaw
2016,236948,University of Washington-Seattle Campus,379800,1,Main Campus,45591,4,0,3,Off-campus vaw
2016,236939,Washington State University,380000,1,Pullman Campus,30142,0,0,1,Off-campus vaw
2016,237011,Western Washington University,380200,1,Bellingham Campus,15574,0,0,0,Off-campus vaw
2016,237057,Whitman College,380300,1,Whitman College,1493,0,1,3,Off-campus vaw
2017,235316,Gonzaga University,377800,1,Main Campus,7506,0,0,0,Off-campus vaw
